,Max Leaf Nodes,Mean Absolute Error (MAE)
0,2,44268.47361143952
1,3,39912.20512711714
2,4,37786.689768600314
3,5,35044.51299744237
4,6,35713.94342638403
5,7,34769.10089767185
6,8,33155.05799844675
7,9,31863.851616036944
8,10,31585.432831537662
9,11,30389.783612505194
10,12,30235.08084999803
11,13,29124.908937039498
12,14,27956.436884725757
13,15,28125.478430318668
14,16,27418.101648804903
15,17,27807.663665995344
16,18,27807.663665995344
17,19,28648.267042530915
18,20,28707.31479747764
19,21,28750.331097785598
20,22,28513.702809268416
21,23,28653.86284944501
22,24,28856.62997273268
23,25,29016.41319191076
24,26,28959.76970980736
25,27,28616.229360696358
26,28,28594.058615048627
27,29,28704.92928766505
28,30,28877.041068486968
29,31,28994.467469483232
30,32,28329.804338195
31,33,28355.08322598861
32,34,28543.571159452404
33,35,28761.35218024895
34,36,28630.941278790702
35,37,28608.35020365579
36,38,28513.02095305144
37,39,27931.319478399837
38,40,28106.18249209847
39,41,28085.58636359227
40,42,28157.36141903911
41,43,28037.9307341076
42,44,27556.629320985754
43,45,27556.629320985754
44,46,27556.629320985754
45,47,27392.291421442373
46,48,27351.532381060486
47,49,27467.628271471443
48,50,27405.930473214907
49,51,27609.18709421947
50,52,27608.423395589336
51,53,27683.23178081142
52,54,27650.059178071693
53,55,27662.52507381978
54,56,27673.07883809908
55,57,27611.17044610751
56,58,27398.984429339976
57,59,27308.306384378084
58,60,27110.899339368298
59,61,27076.71826354303
60,62,26989.920001470247
61,63,26976.609928948084
62,64,26926.94435817183
63,65,27044.389659920456
64,66,26985.01149040254
65,67,26985.01149040254
66,68,26943.66809417612
67,69,26759.46382428237
68,70,26763.340028993345
69,71,26704.033546536175
70,72,26847.869162974534
71,73,27044.086130049753
72,74,27156.990239638795
73,75,27114.12284949469
74,76,27104.860618574927
75,77,27298.072186307043
76,78,27220.54904396041
77,79,27155.08343092544
78,80,27389.89243288238
79,81,27389.89243288238
80,82,27569.91370215911
81,83,27585.32010147087
82,84,27670.694743555534
83,85,27536.423432400934
84,86,27366.760027312874
85,87,27432.843393261992
86,88,27432.843393261992
87,89,27432.843393261992
88,90,27411.5488346623
89,91,27411.5488346623
90,92,27245.097160385278
91,93,27151.7344891524
92,94,27243.74005052764
93,95,27268.728164951488
94,96,27321.220744860162
95,97,27179.26010402966
96,98,27236.223802659802
97,99,27236.036473892676
98,100,27282.50803885739
99,101,27233.421280866525
100,102,27071.002102784332
101,103,27062.12526574542
102,104,27018.507087880665
103,105,27171.94053388672
104,106,27215.03056313527
105,107,27182.238058835912
106,108,27218.735319109885
107,109,27161.587179472237
108,110,27222.49138690864
109,111,27213.328817686837
110,112,27181.679021516495
111,113,27182.516160024865
112,114,27344.248294928333
113,115,27326.776833741118
114,116,27313.967322977907
115,117,27344.626227087498
116,118,27344.626227087498
117,119,27344.626227087498
118,120,27322.725521248438
119,121,27306.574184001205
120,122,27358.569355683783
121,123,27446.198740257638
122,124,27480.635574352007
123,125,27416.822788963877
124,126,27459.860573097554
125,127,27403.441942960566
126,128,27458.23646350851
127,129,27458.23646350851
128,130,27458.23646350851
129,131,27441.62198209951
130,132,27510.121297168003
131,133,27303.21081697946
132,134,27258.470173177837
133,135,27237.511269068247
134,136,27269.52502858118
135,137,27145.469320818625
136,138,27132.39169524785
137,139,27129.430181875377
138,140,27093.337813969312
139,141,27093.337813969312
140,142,27040.746718078903
141,143,27059.8051329517
142,144,27090.39587659162
143,145,27145.638320601192
144,146,27145.638320601192
145,147,27177.95193865115
146,148,27047.56095691599
147,149,27097.04622051084
148,150,26988.187773022255
149,151,26840.12080194159
150,152,26814.393469912884
151,153,26828.874878914845
152,154,26803.84656841256
153,155,26879.39978232194
154,156,26879.39978232194
155,157,26934.04209586836
156,158,27104.783465731372
157,159,27215.96291778617
158,160,27159.35043457371
159,161,27151.01365701337
160,162,27203.751988782933
161,163,27176.79466528451
162,164,27390.033145981895
163,165,27447.59410751026
164,166,27447.59410751026
165,167,27351.80260565598
166,168,27367.990088868442
167,169,27419.839403936934
168,170,27419.839403936934
169,171,27317.099677909537
170,172,27223.85949526114
171,173,27196.972128442263
172,174,27253.04518780299
173,175,27225.4019625414
174,176,27273.17911820766
175,177,27302.02843327615
176,178,27374.90514560492
177,179,27447.45404580061
178,180,27425.13441109741
179,181,27323.568853367473
180,182,27299.139629623183
181,183,27354.7849003342
182,184,27329.162069283975
183,185,27304.805722252015
184,186,27338.754489375304
185,187,27347.18944362505
186,188,27235.099731027683
187,189,27246.791316154886
188,190,27222.053721025506
189,191,27530.402390778014
190,192,27478.272450340522
191,193,27505.87117180171
192,194,27522.154979318395
193,195,27604.43808434123
194,196,27604.43808434123
195,197,27633.43351813118
196,198,27614.194553138794
197,199,27569.524964097698
198,200,27711.395961745406
