,Time Test,Number of Trees Range,Max Depth of Tree Range,NE_increment,MD_increment,Type of Function,Optimal MAE,Optimal Max Depth,Optimal Number of Trees
0,1,1-10,2-11,5,5,Grid Search Optimization,23505.94835856136,7,6
1,1,1-10,2-11,5,5,Programmed Optimization,23534.71826484018,7,6
2,2,1-20,2-21,5,5,Grid Search Optimization,22270.973588155928,17,16
3,2,1-20,2-21,5,5,Programmed Optimization,22372.150256849316,17,16
4,3,1-30,2-31,5,5,Grid Search Optimization,22814.501460183652,27,26
5,3,1-30,2-31,5,5,Programmed Optimization,22231.348271363342,17,21
6,4,1-40,2-41,5,5,Grid Search Optimization,22837.602451701157,12,26
7,4,1-40,2-41,5,5,Programmed Optimization,22231.348271363342,17,21
8,5,1-50,2-51,5,5,Grid Search Optimization,22365.70234266428,27,46
9,5,1-50,2-51,5,5,Programmed Optimization,22231.348271363342,17,21
10,6,1-60,2-61,5,5,Grid Search Optimization,22404.72072552004,27,36
11,6,1-60,2-61,5,5,Programmed Optimization,22015.095670254403,32,56
12,7,1-70,2-71,5,5,Grid Search Optimization,22181.892934918964,22,26
13,7,1-70,2-71,5,5,Programmed Optimization,21889.911436280618,32,66
14,8,1-80,2-81,5,5,Grid Search Optimization,22788.5945986531,12,76
15,8,1-80,2-81,5,5,Programmed Optimization,21865.879934400928,32,71
16,9,1-90,2-91,5,5,Grid Search Optimization,22746.69848440011,22,41
17,9,1-90,2-91,5,5,Programmed Optimization,21865.879934400928,32,71
18,10,1-100,2-101,5,5,Grid Search Optimization,22428.49889303999,87,66
19,10,1-100,2-101,5,5,Programmed Optimization,21865.879934400928,32,71
