,Number of Trees,Max Depth of Each Tree,Programmed Optimization,Grid Search Optimization,Created Data Table Optimization,Preloaded Data Table Optimization
0,10,10,0.23586153984069824,0.2747485637664795,0.22336554527282715,3.0994415283203125e-05
1,20,20,2.78096079826355,2.520345449447632,2.79396390914917,4.100799560546875e-05
2,30,30,10.829138278961182,9.324296236038208,10.836950302124023,8.845329284667969e-05
3,40,40,27.511439085006714,22.776841640472412,27.54119896888733,7.677078247070312e-05
4,50,50,56.04744911193848,46.49899244308472,56.18660497665405,9.846687316894531e-05
5,60,60,99.28650879859924,81.19636678695679,99.62122702598572,0.0001361370086669922
6,70,70,160.9972367286682,130.97854590415955,160.97114992141724,0.0001926422119140625
7,80,80,243.89581060409546,198.54727697372437,244.09006237983704,0.00018286705017089844
8,90,90,353.3457407951355,287.8621504306793,351.3143858909607,0.00022101402282714844
9,100,100,486.21304750442505,391.59314465522766,488.6137993335724,0.0002682209014892578
